İlanNo,SonGuncellemeTarihi,ilce_pamukkale,ilce_merkezefendi,konut_tipi,toplam_oda,brutm2,netm2,bul_kat,bina_yas,isinma_belirtilmeyen,isinma_dogalgazsoba,isinma_yok,isinma_jeo ,isinma_katkalo,isinma_klima,isinma_kombi,isinma_merkezi,isinma_merkezipay,isinma_soba,isinma_yerden,bina_kat,kredi_bilinmiyor,kredi_uygun,kredi_uygundegil,esya_bilinmiyor,esya_var,esya_yok,toplam_banyo,yapi_ikinci,yapi_sifir,takas_bilinmiyor,takas_evet,takas_hayır,SatisFiyati,tapu_arsa,tapu_katirt,tapu_katmul,tapu_bos,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati,cephe_bos
121853-1300,20.03.2024,0,1,1,5,205,200,3,4,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,1,2,1,0,0,1,0,5500000,0,0,1,0,0,0,0,0,1
91390-1474,1.05.2024,0,1,1,4,190,170,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,2,0,1,0,1,0,6500000,0,0,0,1,1,1,1,1,0
99579-1489,18.03.2024,0,1,1,5,220,190,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,0,1,1,0,0,6250000,0,1,0,0,0,0,0,0,1
134506-377,17.04.2024,0,1,1,4,150,140,3,15,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,2730000,0,1,0,0,0,1,1,0,0
140093-569,20.03.2024,0,1,1,3,130,110,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,1,1,0,0,3250000,0,1,0,0,0,0,0,0,1
131521-271,20.03.2024,0,1,1,3,90,80,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,1,0,1,0,2100000,0,1,0,0,1,1,1,1,0
138220-500,10.05.2024,0,1,1,3,100,95,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,2,0,1,0,0,1,1900000,0,1,0,0,1,1,1,1,0
89525-230,22.04.2024,0,1,1,4,160,145,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,2,0,1,0,0,1,5250000,0,1,0,0,1,0,1,0,0
113234-956,9.03.2024,0,1,1,3,110,109,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,1,0,1,0,2900000,0,1,0,0,1,1,1,1,0
137436-269,24.04.2024,0,1,1,2,65,60,4,5,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,1,0,0,1550000,0,0,0,1,0,0,0,0,1
139845-1070,2.04.2024,0,1,1,3,120,110,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1850000,0,0,0,1,0,0,0,0,1
102131-32001,15.05.2024,0,1,1,3,120,110,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,1,0,0,3300000,0,0,1,0,1,1,1,1,0
136300-237,5.04.2024,0,1,1,3,110,100,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,0,1,3250000,0,0,1,0,0,0,0,0,1
133566-176,22.02.2024,0,1,1,4,150,138,4,31,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,1698000,0,0,1,0,0,0,0,0,1
134094-564,1.03.2024,0,1,1,4,145,140,2,22,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,1944500,0,0,0,1,0,0,0,0,1
133179-55,12.03.2024,0,1,1,4,165,160,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,2,0,1,0,1,0,2100000,0,1,0,0,1,0,0,0,0
69820-915,7.05.2024,0,1,1,4,150,130,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,2,0,1,0,1,0,4000000,0,1,0,0,0,1,1,0,0
99999-1143,24.04.2024,0,1,1,4,150,135,4,35,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,0,0,1,1550000,0,0,0,1,0,0,0,0,1
135046-2060,7.05.2024,0,1,1,4,150,145,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,1,0,0,2800000,0,0,0,1,0,0,0,0,1
142596-78,12.03.2024,0,1,1,3,120,100,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1850000,0,0,1,0,0,0,0,0,1
118042-369,8.04.2024,0,1,1,4,144,115,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,0,1,0,1,0,3250000,0,0,1,0,1,1,1,0,0
121853-1133,1.05.2024,0,1,1,4,145,130,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,0,1,0,0,1,3750000,0,0,0,1,0,0,0,0,1
68295-673,15.05.2024,0,1,1,3,65,60,3,11,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,1,0,1450000,0,0,1,0,0,0,0,0,1
129683-521,15.05.2024,0,1,1,4,145,140,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,0,2,0,1,1,0,0,3700000,0,0,0,1,0,0,0,0,1
140093-152,22.04.2024,0,1,1,4,150,140,3,8,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1899000,0,0,0,1,0,0,0,0,1
135972-128,1.05.2024,0,1,1,3,115,100,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,2,0,1,0,1,0,2000000,0,0,1,0,1,1,1,1,0
