İlanNo,SonGuncellemeTarihi,Ilce,KonutTipi,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
99579-1648,12/05/2024,Merkezefendi,Daire,3 + 1,160,145,2,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2595000,Kat İrtifakı,
94398-5335,22/04/2024,Merkezefendi,Daire,3 + 1,150,145,4,35,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1950000,Kat Mülkiyeti,
134506-328,04/05/2024,Merkezefendi,Daire,2 + 1,70,65,2,25,Yerden Isıtma,4,Uygun,Eşyalı,1,Sıfır,Evet,1350000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
113381-134,22/04/2024,Merkezefendi,Daire,1 + 1,64,60,0,0,Yerden Isıtma,2,Uygun,Eşyalı,1,Sıfır,Evet,1565000,Kat Mülkiyeti,Güney
0-42444556,03/04/2024,Merkezefendi,Daire,1 + 1,75,65,3,14,Merkezi (Pay Ölçer),9,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2000000,Kat Mülkiyeti,"Güney, Doğu"
135386-151,30/03/2024,Merkezefendi,Daire,2 + 1,125,120,2,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,3250000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
110125-147,29/03/2024,Merkezefendi,Daire,3 + 1,160,145,3,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Bilinmiyor,4950000,Kat İrtifakı,"Kuzey, Güney, Batı"
142376-37,26/03/2024,Merkezefendi,Daire,2 + 1,100,95,7,15,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2200000,Kat Mülkiyeti,"Güney, Doğu"
136159-534,22/04/2024,Merkezefendi,Daire,2 + 1,120,110,1,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Bilinmiyor,2650000,Kat İrtifakı,
0-42393461,22/03/2024,Merkezefendi,Daire,2 + 1,115,100,5,4,Yerden Isıtma,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,3150000,Kat Mülkiyeti,"Güney, Doğu"
