İlanNo,SonGuncellemeTarihi,Ilce,KonutTipi,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
137436-116,06/05/2024,Merkezefendi,Daire,4 + 1,200,190,1,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,6500000,Kat Mülkiyeti,
102131-31989,15/05/2024,Merkezefendi,Daire,3 + 1,160,150,2,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,1,Sıfır,Evet,4000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135972-90,28/03/2024,Merkezefendi,Daire,2 + 1,125,110,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2800000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
139845-559,03/04/2024,Merkezefendi,Daire,2 + 1,110,100,2,6,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1390000,Kat Mülkiyeti,
121464-893,02/04/2024,Merkezefendi,Daire,3 + 1,170,160,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,3200000,,
122219-349,17/02/2024,Merkezefendi,Daire,1 + 1,45,40,-1,8,Yerden Isıtma,3,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,650000,,
137102-201,15/03/2024,Merkezefendi,Daire,2 + 1,120,100,5,20,Kombi,5,Bilinmiyor,Eşyalı Değil,1,İkinci El,Bilinmiyor,1550000,,
133566-164,22/02/2024,Merkezefendi,Daire,2 + 1,80,78,0,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1250000,,Batı
137549-910,18/03/2024,Merkezefendi,Daire,1 + 1,55,50,6,4,Yerden Isıtma,7,Uygun,Eşyalı,1,İkinci El,Hayır,1330000,Kat Mülkiyeti,
135046-2010,18/04/2024,Merkezefendi,Daire,3 + 1,170,160,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,3700000,,
134094-557,05/03/2024,Merkezefendi,Daire,2 + 1,105,100,2,7,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1900000,,
138220-496,26/03/2024,Merkezefendi,Daire,2 + 1,110,100,2,3,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1739000,Kat İrtifakı,"Güney, Doğu, Batı"
135993-29,05/04/2024,Merkezefendi,Daire,3 + 1,180,170,2,4,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,3250000,,
140093-534,26/04/2024,Merkezefendi,Daire,3 + 1,155,140,5,30,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2350000,Kat İrtifakı,
113131-61,24/04/2024,Merkezefendi,Daire,3 + 1,130,120,4,35,Kombi,4,Uygun,Bilinmiyor,1,İkinci El,Evet,1650000,Kat İrtifakı,
137436-84,22/04/2024,Merkezefendi,Daire,4 + 1,210,190,2,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,5750000,Kat Mülkiyeti,
102131-31988,15/05/2024,Merkezefendi,Daire,3 + 1,180,175,2,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,4000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135972-52,27/04/2024,Merkezefendi,Daire,3 + 1,135,110,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2650000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
121464-861,23/04/2024,Merkezefendi,Daire,3 + 1,175,165,2,0,Kombi,2,Uygun,Eşyalı Değil,2,Sıfır,Hayır,4250000,,
135046-2005,17/04/2024,Merkezefendi,Daire,2 + 1,120,110,0,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2000000,,
138295-333,17/02/2024,Merkezefendi,Daire,2 + 1,130,125,2,26,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1450000,Kat Mülkiyeti,
134619-185,16/05/2024,Merkezefendi,Daire,2 + 1,120,105,3,3,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1950000,,
118042-552,13/05/2024,Merkezefendi,Daire,4 + 1,180,160,4,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,3999000,,"Kuzey, Güney, Doğu, Batı"
140093-214,15/03/2024,Merkezefendi,Daire,3 + 1,125,120,2,35,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1550000,Kat Mülkiyeti,"Güney, Doğu, Batı"
113234-964,09/03/2024,Merkezefendi,Daire,2 + 1,125,124,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,2500000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
113131-39,18/04/2024,Merkezefendi,Daire,2 + 1,100,90,1,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2450000,,
137436-81,06/05/2024,Merkezefendi,Daire,4 + 1,185,177,3,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,5750000,Kat Mülkiyeti,
102131-31987,15/05/2024,Merkezefendi,Daire,3 + 1,170,160,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,4400000,Kat Mülkiyeti,Güney
128687-671,08/05/2024,Merkezefendi,Daire,3 + 1,145,130,4,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,3500000,Kat Mülkiyeti,"Doğu, Batı"
99579-1596,29/03/2024,Merkezefendi,Daire,3 + 1,240,210,17,12,Merkezi (Pay Ölçer),17,Uygun,Eşyalı Değil,2,İkinci El,Evet,3050000,Kat Mülkiyeti,"Kuzey, Batı"
140663-247,04/03/2024,Merkezefendi,Daire,1 + 1,50,45,3,0,Yerden Isıtma,5,Uygun,Bilinmiyor,1,Sıfır,Bilinmiyor,1590000,,
121464-933,02/04/2024,Merkezefendi,Daire,3 + 1,135,125,5,26,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1750000,,
135972-148,16/04/2024,Merkezefendi,Daire,2 + 1,125,115,1,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2600000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-2001,16/04/2024,Merkezefendi,Daire,2 + 1,120,110,4,5,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1300000,,
91390-1465,25/03/2024,Merkezefendi,Daire,2 + 1,107,90,2,0,Yerden Isıtma,4,Uygun değil,Eşyalı Değil,1,Sıfır,Evet,2500000,Kat Mülkiyeti,"Güney, Batı"
117504-847,14/03/2024,Merkezefendi,Daire,2 + 1,95,85,5,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,1,Sıfır,Evet,9750000,Kat İrtifakı,
135993-11,19/02/2024,Merkezefendi,Daire,2 + 1,100,95,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,2500000,,
134619-204,16/05/2024,Merkezefendi,Daire,3 + 1,150,145,3,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3099000,Kat Mülkiyeti,
139845-792,01/04/2024,Merkezefendi,Daire,3 + 1,170,150,3,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,4500000,Kat Mülkiyeti,
137549-956,05/04/2024,Merkezefendi,Daire,3 + 1,155,145,1,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,4750000,Kat Mülkiyeti,
113131-32,18/04/2024,Merkezefendi,Daire,3 + 1,135,125,2,12,Kombi,4,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,3450000,,
137436-66,06/05/2024,Merkezefendi,Daire,4 + 1,215,196,2,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,8500000,Kat Mülkiyeti,
102131-31986,15/05/2024,Merkezefendi,Daire,2 + 1,130,120,3,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2100000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
96363-239,08/04/2024,Merkezefendi,Daire,1 + 0,48,45,-2,0,Kombi,2,Bilinmiyor,Eşyalı Değil,1,Sıfır,Bilinmiyor,1700000,,
113234-963,09/03/2024,Merkezefendi,Daire,2 + 1,130,129,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,2800000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
140663-216,17/02/2024,Merkezefendi,Daire,2 + 1,65,60,2,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1850000,,
135972-139,28/03/2024,Merkezefendi,Daire,2 + 1,110,100,3,0,Yerden Isıtma,6,Uygun,Eşyalı Değil,1,Sıfır,Evet,1800000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-1995,03/05/2024,Merkezefendi,Daire,2 + 1,120,110,1,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2300000,,
135993-10,15/04/2024,Merkezefendi,Daire,2 + 1,110,100,1,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2300000,,
121464-969,14/03/2024,Merkezefendi,Daire,3 + 1,170,160,4,27,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3390000,,
138220-548,26/03/2024,Merkezefendi,Daire,1 + 1,60,55,2,6,Kombi,2,Uygun,Eşyalı,1,İkinci El,Hayır,1175000,Kat İrtifakı,"Kuzey, Doğu"
69820-924,07/05/2024,Merkezefendi,Daire,4 + 1,145,107,3,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,3000000,Kat Mülkiyeti,Kuzey
113131-22,19/04/2024,Merkezefendi,Daire,3 + 1,135,120,2,12,Kombi,4,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,3490000,,
137436-53,24/04/2024,Merkezefendi,Daire,4 + 1,220,196,3,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,7600000,Kat Mülkiyeti,
102131-31985,15/05/2024,Merkezefendi,Daire,2 + 1,120,110,3,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
91390-1359,19/04/2024,Merkezefendi,Daire,3 + 1,130,120,3,26,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2050000,Kat Mülkiyeti,
139845-1137,13/05/2024,Merkezefendi,Daire,1 + 1,65,50,3,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1499000,,"Kuzey, Güney, Doğu, Batı"
113234-961,09/03/2024,Merkezefendi,Daire,3 + 1,140,139,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,3500000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
135972-138,27/03/2024,Merkezefendi,Daire,2 + 1,115,100,3,0,Yerden Isıtma,6,Uygun,Eşyalı Değil,1,Sıfır,Evet,1950000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-1967,03/05/2024,Merkezefendi,Daire,2 + 1,120,110,2,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2300000,,
137549-958,05/04/2024,Merkezefendi,Daire,1 + 1,55,50,1,0,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,1575000,,"Kuzey, Güney, Doğu, Batı"
138295-331,18/03/2024,Merkezefendi,Daire,1 + 1,55,50,0,16,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1295000,Kat Mülkiyeti,
121464-916,05/03/2024,Merkezefendi,Daire,4 + 1,220,200,3,8,Kombi,3,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2870000,,
137436-4,24/04/2024,Merkezefendi,Daire,4 + 1,220,196,3,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Hayır,7600000,Kat Mülkiyeti,
102131-31984,15/05/2024,Merkezefendi,Daire,3 + 1,170,160,3,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,6200000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
118042-560,04/04/2024,Merkezefendi,Daire,1 + 1,50,45,2,3,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Evet,1499000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
99579-1670,29/03/2024,Merkezefendi,Daire,4 + 2,350,325,5,5,Yerden Isıtma,5,Uygun,Eşyalı Değil,3,İkinci El,Evet,8500000,Kat Mülkiyeti,"Kuzey, Güney"
68295-659,27/04/2024,Merkezefendi,Daire,2 + 1,60,55,3,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1399000,Kat Mülkiyeti,
135993-37,12/03/2024,Merkezefendi,Daire,2 + 1,130,129,0,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2450000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
140742-50,28/04/2024,Merkezefendi,Daire,3 + 1,135,120,2,21,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2450000,Kat Mülkiyeti,Kuzey
135046-1949,03/05/2024,Merkezefendi,Daire,2 + 1,130,125,0,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1850000,,
139845-1016,14/05/2024,Merkezefendi,Daire,2 + 1,120,110,1,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2100000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
121853-1419,19/03/2024,Merkezefendi,Daire,4 + 1,140,135,0,15,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1720000,,
121464-922,05/03/2024,Merkezefendi,Daire,3 + 1,155,150,3,1,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,4250000,,
129038-221,11/03/2024,Merkezefendi,Daire,8 + 3,325,300,3,5,Kombi,3,Bilinmiyor,Eşyalı Değil,3,Sıfır,Evet,3750000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
102131-31983,15/05/2024,Merkezefendi,Daire,2 + 1,120,110,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2500000,Kat Mülkiyeti,Güney
137304-123,15/05/2024,Merkezefendi,Daire,3 + 1,130,120,4,12,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2500000,Kat Mülkiyeti,Kuzey
135993-20,01/04/2024,Merkezefendi,Daire,3 + 1,145,140,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,3600000,,
137549-920,25/03/2024,Merkezefendi,Daire,1 + 0,40,35,-1,10,Merkezi,5,Uygun,Eşyalı,1,İkinci El,Evet,700000,Kat Mülkiyeti,
69820-943,07/05/2024,Merkezefendi,Daire,2 + 1,125,100,0,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2500000,Kat Mülkiyeti,Güney
137436-341,06/05/2024,Merkezefendi,Daire,2 + 1,60,50,3,0,Yerden Isıtma,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,1350000,Kat Mülkiyeti,
135046-1946,09/05/2024,Merkezefendi,Daire,2 + 1,120,110,0,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1950000,,
135972-132,27/03/2024,Merkezefendi,Daire,2 + 1,115,100,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1700000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
121853-1335,22/04/2024,Merkezefendi,Daire,2 + 1,100,95,0,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2000000,,
121464-884,12/03/2024,Merkezefendi,Daire,3 + 1,160,130,1,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3500000,,
137028-113,30/04/2024,Merkezefendi,Daire,1 + 1,55,50,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1250000,Kat Mülkiyeti,
102131-31982,15/05/2024,Merkezefendi,Daire,3 + 1,150,145,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
134506-261,17/04/2024,Merkezefendi,Daire,2 + 1,115,110,1,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2750000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
137304-101,15/05/2024,Merkezefendi,Daire,2 + 1,120,108,2,1,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2500000,Kat Mülkiyeti,Güney
135993-18,10/05/2024,Merkezefendi,Daire,3 + 1,97,96,1,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,2500000,,
69820-942,07/05/2024,Merkezefendi,Daire,2 + 1,120,100,1,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2750000,Kat Mülkiyeti,Doğu
137436-299,24/04/2024,Merkezefendi,Daire,4 + 1,215,196,0,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,12500000,Kat Mülkiyeti,
135046-1940,22/04/2024,Merkezefendi,Daire,2 + 1,120,110,0,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1900000,,
121853-1333,03/04/2024,Merkezefendi,Daire,2 + 1,110,100,2,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2250000,,
140742-66,09/04/2024,Merkezefendi,Daire,2 + 1,100,80,2,3,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2150000,Kat Mülkiyeti,Güney
135972-141,16/04/2024,Merkezefendi,Daire,2 + 1,100,90,2,5,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,1450000,Kat Mülkiyeti,"Kuzey, Doğu, Batı"
137549-923,25/03/2024,Merkezefendi,Daire,1 + 1,58,50,0,8,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1220000,Kat Mülkiyeti,
99579-1630,18/03/2024,Merkezefendi,Daire,3 + 1,165,155,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,3550000,Kat Mülkiyeti,Güney
102131-31981,15/05/2024,Merkezefendi,Daire,4 + 1,200,190,4,0,Kombi,4,Uygun,Eşyalı Değil,3,Sıfır,Evet,3500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
131521-276,20/03/2024,Merkezefendi,Daire,3 + 1,110,100,1,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2250000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
137304-95,15/05/2024,Merkezefendi,Daire,3 + 1,165,155,1,1,Kombi,5,Uygun,Eşyalı Değil,1,Sıfır,Hayır,3550000,Kat Mülkiyeti,Güney
135993-6,05/04/2024,Merkezefendi,Daire,3 + 1,165,155,1,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,3290000,,
136300-252,05/04/2024,Merkezefendi,Daire,3 + 1,150,140,3,3,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2990000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
121464-882,05/03/2024,Merkezefendi,Daire,3 + 1,170,160,4,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3950000,,
137436-279,24/04/2024,Merkezefendi,Daire,2 + 1,65,60,3,5,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1380000,Kat Mülkiyeti,
121853-1308,15/05/2024,Merkezefendi,Daire,2 + 1,85,80,3,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Hayır,1800000,,
139845-1126,02/04/2024,Merkezefendi,Daire,2 + 1,120,110,0,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2100000,,
102131-31980,15/05/2024,Merkezefendi,Daire,3 + 1,160,155,2,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,3500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
137304-76,15/05/2024,Merkezefendi,Daire,3 + 1,180,150,2,25,Merkezi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2100000,Kat Mülkiyeti,Güney
69820-944,07/05/2024,Merkezefendi,Daire,2 + 1,100,80,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2200000,Kat Mülkiyeti,Kuzey
136300-236,05/04/2024,Merkezefendi,Daire,2 + 1,100,97,0,10,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Hayır,1700000,Kat Mülkiyeti,
99579-1626,01/04/2024,Merkezefendi,Daire,1 + 1,80,77,21,4,Merkezi (Pay Ölçer),29,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2400000,Kat Mülkiyeti,"Güney, Batı"
137436-264,23/04/2024,Merkezefendi,Daire,2 + 1,120,110,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,3500000,Kat Mülkiyeti,
121464-883,11/03/2024,Merkezefendi,Daire,3 + 1,160,150,2,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Hayır,2800000,,
121853-1303,04/03/2024,Merkezefendi,Daire,3 + 1,140,130,4,20,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2100000,,
68295-581,15/05/2024,Merkezefendi,Daire,3 + 1,145,135,4,31,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1700000,Kat Mülkiyeti,
135993-15,10/05/2024,Merkezefendi,Daire,3 + 1,140,135,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,4000000,,
139845-1120,02/04/2024,Merkezefendi,Daire,2 + 1,120,110,3,3,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1580000,,
102131-31979,15/05/2024,Merkezefendi,Daire,3 + 1,170,165,4,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,3750000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
130837-932,09/05/2024,Merkezefendi,Daire,3 + 1,150,145,2,5,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,3199000,Kat Mülkiyeti,
99579-1379,02/04/2024,Merkezefendi,Daire,2 + 1,125,110,3,31,Soba,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1190000,Kat Mülkiyeti,"Kuzey, Güney"
121853-1173,01/04/2024,Merkezefendi,Daire,3 + 1,150,145,1,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Bilinmiyor,3100000,,
137436-310,06/05/2024,Merkezefendi,Daire,2 + 1,110,100,2,3,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1950000,Kat Mülkiyeti,
142596-46,01/03/2024,Merkezefendi,Daire,2 + 1,130,110,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2300000,Kat Mülkiyeti,
121464-968,14/03/2024,Merkezefendi,Daire,2 + 1,130,125,2,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3100000,,
139845-1105,24/04/2024,Merkezefendi,Daire,2 + 1,130,120,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2200000,,"Kuzey, Güney, Doğu, Batı"
102131-31978,15/05/2024,Merkezefendi,Daire,3 + 1,170,165,3,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,5250000,Kat Mülkiyeti,Güney
137549-903,16/03/2024,Merkezefendi,Daire,2 + 1,120,115,0,12,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2180000,Kat Mülkiyeti,
130837-846,09/05/2024,Merkezefendi,Daire,3 + 1,135,134,3,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,3300000,Kat Mülkiyeti,
136300-240,05/04/2024,Merkezefendi,Daire,1 + 1,79,65,2,8,Kombi,2,Uygun,Eşyalı,1,İkinci El,Hayır,1400000,Kat Mülkiyeti,
113131-69,30/04/2024,Merkezefendi,Daire,2 + 1,100,85,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2450000,Kat İrtifakı,
69820-932,07/05/2024,Merkezefendi,Daire,2 + 1,50,45,2,0,Kombi,4,Uygun,Eşyalı,1,Sıfır,Evet,1550000,Kat Mülkiyeti,"Doğu, Batı"
121853-1053,03/05/2024,Merkezefendi,Daire,3 + 1,200,180,2,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Hayır,6500000,,
137436-283,26/04/2024,Merkezefendi,Daire,2 + 1,100,95,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1550000,Kat Mülkiyeti,
99579-1628,18/03/2024,Merkezefendi,Daire,3 + 1,150,130,2,0,Kombi,5,Uygun,Eşyalı Değil,1,Sıfır,Evet,3600000,Kat Mülkiyeti,
121464-901,29/04/2024,Merkezefendi,Daire,2 + 1,135,125,1,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Hayır,2750000,,
139845-1103,02/04/2024,Merkezefendi,Daire,3 + 1,150,145,0,2,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2000000,,
135972-122,07/05/2024,Merkezefendi,Daire,3 + 1,207,190,3,3,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,6390000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
102131-31976,15/05/2024,Merkezefendi,Daire,4 + 1,220,200,1,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,5750000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
137549-902,22/03/2024,Merkezefendi,Daire,3 + 1,220,207,3,1,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,İkinci El,Evet,5990000,,
140093-562,15/03/2024,Merkezefendi,Daire,3 + 1,170,160,2,12,Kombi,4,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,2949000,,
133566-161,01/05/2024,Merkezefendi,Daire,2 + 1,110,100,1,3,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2500000,Kat Mülkiyeti,
113131-35,18/04/2024,Merkezefendi,Daire,1 + 1,45,35,2,1,Yerden Isıtma,3,Uygun,Bilinmiyor,1,Sıfır,Bilinmiyor,1400000,,
121853-807,04/03/2024,Merkezefendi,Daire,3 + 1,160,150,2,4,Kombi,2,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,3750000,,
139845-1101,02/04/2024,Merkezefendi,Daire,2 + 1,120,110,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2500000,,
102131-31975,15/05/2024,Merkezefendi,Daire,4 + 1,200,190,3,13,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,6000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
136300-241,05/04/2024,Merkezefendi,Daire,1 + 1,55,50,3,3,Yerden Isıtma,4,Uygun,Eşyalı,1,Sıfır,Hayır,1499999,Kat Mülkiyeti,
